
tempo_ms,ph,umidade,N,P,K,bomba
22894,3.42,8.5,11,0,0,0
22995,3.42,8.5,11,0,0,0
23096,3.42,8.5,11,0,0,0
23197,3.42,8.5,11,0,0,0
23298,3.42,8.5,11,0,0,0
23399,3.42,8.5,11,0,0,0
23500,3.42,8.5,11,0,0,0
23600,3.42,8.5,11,0,0,0
23700,3.42,8.5,11,0,0,0
23800,3.42,8.5,11,0,0,0
23900,3.42,8.5,11,0,0,0
24000,3.42,8.5,11,0,0,0
24100,3.42,8.5,11,0,0,0
24206,3.42,8.5,11,0,0,0
24307,3.42,8.5,11,0,0,0
24408,3.42,8.5,11,0,0,0
24509,3.42,8.5,11,0,0,0
24610,3.42,8.5,11,0,0,0
24711,3.42,8.5,11,0,0,0
24812,3.42,8.5,11,0,0,0
24913,3.42,8.5,11,0,0,0
25014,3.42,8.5,11,0,0,0
25115,3.42,8.5,11,0,0,0
25216,3.42,8.5,11,0,0,0
25554,3.42,8.5,11,92,0,0
25655,3.42,8.5,11,92,0,0
25756,3.42,8.5,11,92,0,0
25857,3.42,8.5,11,92,0,0
25958,3.42,8.5,11,92,0,0
26059,3.42,8.5,11,92,0,0
26160,3.42,8.5,11,92,0,0
26267,3.42,8.5,11,92,0,0
26368,3.42,8.5,11,92,0,0
26469,3.42,8.5,11,92,0,0
26570,3.42,8.5,11,92,0,0
26911,3.42,8.5,11,92,99,0
27012,3.42,8.5,11,92,99,0
27113,3.42,8.5,11,92,99,0
27214,3.42,8.5,11,92,99,0
27315,3.42,8.5,11,92,99,0
27416,3.42,8.5,11,92,99,0
27517,3.42,8.5,11,92,99,0
27618,3.42,8.5,11,92,99,0
27719,3.42,8.5,11,92,99,0
27820,3.42,8.5,11,92,99,0
27921,3.42,8.5,11,92,99,0
28022,3.42,8.5,11,92,99,0
28123,3.42,8.5,11,92,99,0
28224,3.42,8.5,11,92,99,0
28331,3.42,8.5,11,92,99,0
28432,3.42,8.5,11,92,99,0
28533,3.42,8.5,11,92,99,0
28634,3.42,8.5,11,92,99,0
28735,3.42,8.5,11,92,99,0
28836,3.42,8.5,11,92,99,0
28937,3.42,8.5,11,92,99,0
29038,3.42,8.5,11,92,99,0
29139,3.42,8.5,11,92,99,0
29240,3.42,8.5,11,92,99,0
29341,3.42,8.5,11,92,99,0
29442,3.42,8.5,11,92,99,0
29543,3.42,8.5,11,92,99,0
29644,3.42,8.5,11,92,99,0
29745,3.42,8.5,11,92,99,0
29846,3.42,8.5,11,92,99,0
29947,3.42,8.5,11,92,99,0
30048,3.42,8.5,11,92,99,0
30149,3.42,8.5,11,92,99,0
30250,3.42,8.5,11,92,99,0
30357,3.42,8.5,11,92,99,0
30458,3.42,8.5,11,92,99,0
30559,3.42,8.5,11,92,99,0
30660,3.42,8.5,11,92,99,0
30761,3.42,8.5,11,92,99,0
30862,3.42,8.5,11,92,99,0
30963,3.42,8.5,11,92,99,0
31064,3.42,8.5,11,92,99,0
31165,3.42,8.5,11,92,99,0
31266,3.42,8.5,11,92,99,0
31367,3.42,8.5,11,92,99,0
31468,3.42,8.5,11,92,99,0
31569,3.42,8.5,11,92,99,0
31670,3.42,8.5,11,92,99,0
31771,3.42,8.5,11,92,99,0
31872,3.42,8.5,11,92,99,0
31973,3.42,8.5,11,92,99,0
32074,3.42,8.5,11,92,99,0
32175,3.42,8.5,11,92,99,0
32276,3.42,8.5,11,92,99,0
32383,3.42,8.5,11,92,99,0
32484,3.42,8.5,11,92,99,0
32585,3.42,8.5,11,92,99,0
32686,3.42,8.5,11,92,99,0
32787,3.42,8.5,11,92,99,0
32888,3.42,8.5,11,92,99,0
32989,3.42,8.5,11,92,99,0
33090,3.42,8.5,11,92,99,0
33191,3.42,8.5,11,92,99,0
33292,3.42,8.5,11,92,99,0
33393,3.42,8.5,11,92,99,0
33494,3.42,8.5,11,92,99,0
33595,3.42,8.5,11,92,99,0
33695,3.42,8.5,11,92,99,0
33796,3.42,8.5,11,92,99,0
33897,3.42,8.5,11,92,99,0
33998,3.42,8.5,11,92,99,0
34099,3.42,8.5,11,92,99,0
34200,3.42,8.5,11,92,99,0
34300,3.42,8.5,11,92,99,0
34406,3.42,8.5,11,92,99,0
34507,3.42,8.5,11,92,99,0
34608,3.42,8.5,11,92,99,0
34709,3.42,8.5,11,92,99,0
34810,3.42,8.5,11,92,99,0
34911,3.42,8.5,11,92,99,0
35012,3.42,8.5,11,92,99,0
35113,3.42,8.5,11,92,99,0
35214,3.42,8.5,11,92,99,0
35315,3.42,8.5,11,92,99,0
35416,3.42,8.5,11,92,99,0
35517,3.42,8.5,11,92,99,0
35618,3.42,8.5,11,92,99,0
35719,3.42,8.5,11,92,99,0
35820,3.42,8.5,11,92,99,0
35921,3.42,8.5,11,92,99,0
36022,3.42,8.5,11,92,99,0
36123,3.42,8.5,11,92,99,0
36224,3.42,8.5,11,92,99,0
36325,3.42,8.5,11,92,99,0
36432,3.42,8.5,11,92,99,0
36533,3.42,8.5,11,92,99,0
36634,3.42,8.5,11,92,99,0
36735,3.42,8.5,11,92,99,0
36836,3.42,8.5,11,92,99,0
36937,3.42,8.5,11,92,99,0
37038,3.42,8.5,11,92,99,0
37139,3.42,8.5,11,92,99,0
37240,3.42,8.5,11,92,99,0
37341,3.42,8.5,11,92,99,0
37442,3.42,8.5,11,92,99,0
37543,3.42,8.5,11,92,99,0
37644,3.42,8.5,11,92,99,0
37745,3.42,8.5,11,92,99,0
37846,3.42,8.5,11,92,99,0
37947,3.42,8.5,11,92,99,0
38048,3.42,8.5,11,92,99,0
38149,3.42,8.5,11,92,99,0
38250,3.42,8.5,11,92,99,0
38351,3.42,8.5,11,92,99,0
38458,3.42,8.5,11,92,99,0
38559,3.42,8.5,11,92,99,0
38660,3.42,8.5,11,92,99,0
38761,3.42,8.5,11,92,99,0
38862,3.42,8.5,11,92,99,0
38963,3.42,8.5,11,92,99,0
39064,3.42,8.5,11,92,99,0
39165,3.42,8.5,11,92,99,0
39266,3.42,8.5,11,92,99,0
39367,3.42,8.5,11,92,99,0
39468,3.42,8.5,11,92,99,0
39569,3.42,8.5,11,92,99,0
39670,3.42,8.5,11,92,99,0
39771,3.42,8.5,11,92,99,0
39872,3.42,8.5,11,92,99,0
39973,3.42,8.5,11,92,99,0
40074,3.42,8.5,11,92,99,0
40175,3.42,8.5,11,92,99,0
40276,3.42,8.5,11,92,99,0
40377,3.42,8.5,11,92,99,0
40484,3.42,8.5,11,92,99,0
40585,3.42,8.5,11,92,99,0
40686,3.42,8.5,11,92,99,0
40787,3.42,8.5,11,92,99,0
40888,3.42,8.5,11,92,99,0
40989,3.42,8.5,11,92,99,0
41090,3.42,8.5,11,92,99,0
41191,3.42,8.5,11,92,99,0
41292,3.42,8.5,11,92,99,0
41393,3.42,8.5,11,92,99,0
41494,3.42,8.5,11,92,99,0
41595,3.42,8.5,11,92,99,0
41695,3.42,8.5,11,92,99,0
41796,3.42,8.5,11,92,99,0
41897,3.42,8.5,11,92,99,0
41998,3.42,8.5,11,92,99,0
42099,3.42,8.5,11,92,99,0
42200,3.42,8.5,11,92,99,0
42300,3.42,8.5,11,92,99,0
42400,3.42,8.5,11,92,99,0
42506,3.42,8.5,11,92,99,0
42607,3.42,8.5,11,92,99,0
42708,3.42,8.5,11,92,99,0
42809,3.42,8.5,11,92,99,0
42910,3.42,8.5,11,92,99,0
43011,3.42,8.5,11,92,99,0
43112,3.42,8.5,11,92,99,0
43403,3.67,8.5,11,92,99,0
43686,6.54,8.5,11,92,99,1
43787,6.54,8.5,11,92,99,1
43888,6.54,8.5,11,92,99,1
43989,6.54,8.5,11,92,99,1
44090,6.54,8.5,11,92,99,1
44191,6.54,8.5,11,92,99,1
44292,6.54,8.5,11,92,99,1
44393,6.54,8.5,11,92,99,1
44494,6.54,8.5,11,92,99,1
44601,6.54,8.5,11,92,99,1
44702,6.54,8.5,11,92,99,1
44803,6.54,8.5,11,92,99,1
44904,6.54,8.5,11,92,99,1
45005,6.54,8.5,11,92,99,1
45106,6.54,8.5,11,92,99,1
45207,6.54,8.5,11,92,99,1
45308,6.54,8.5,11,92,99,1
45409,6.54,8.5,11,92,99,1
45510,6.54,8.5,11,92,99,1
45611,6.54,8.5,11,92,99,1
45712,6.54,8.5,11,92,99,1
45813,6.54,8.5,11,92,99,1
45914,6.54,8.5,11,92,99,1
46015,6.54,8.5,11,92,99,1
46116,6.54,8.5,11,92,99,1
46217,6.54,8.5,11,92,99,1
46318,6.54,8.5,11,92,99,1
46419,6.54,8.5,11,92,99,1
46520,6.54,8.5,11,92,99,1
46627,6.54,8.5,11,92,99,1
46728,6.54,8.5,11,92,99,1
46829,6.54,8.5,11,92,99,1
46930,6.54,8.5,11,92,99,1
47031,6.54,8.5,11,92,99,1
47132,6.54,8.5,11,92,99,1
47233,6.54,8.5,11,92,99,1
47334,6.54,8.5,11,92,99,1
47435,6.54,8.5,11,92,99,1
47536,6.54,8.5,11,92,99,1
47637,6.54,8.5,11,92,99,1
47738,6.54,8.5,11,92,99,1
47839,6.54,8.5,11,92,99,1
47940,6.54,8.5,11,92,99,1
48041,6.54,8.5,11,92,99,1
48142,6.54,8.5,11,92,99,1
48243,6.54,8.5,11,92,99,1
48344,6.54,8.5,11,92,99,1
48445,6.54,8.5,11,92,99,1
48546,6.54,8.5,11,92,99,1
48835,6.54,27.5,11,92,99,1
48937,6.54,27.5,11,92,99,1
49038,6.54,27.5,11,92,99,1
49139,6.54,27.5,11,92,99,1
49240,6.54,27.5,11,92,99,1
49341,6.54,27.5,11,92,99,1
49442,6.54,27.5,11,92,99,1
49543,6.54,27.5,11,92,99,1
49644,6.54,27.5,11,92,99,1
49745,6.54,27.5,11,92,99,1
49846,6.54,27.5,11,92,99,1
49947,6.54,27.5,11,92,99,1
50048,6.54,27.5,11,92,99,1
50149,6.54,27.5,11,92,99,1
50250,6.54,27.5,11,92,99,1
50351,6.54,27.5,11,92,99,1
50452,6.54,27.5,11,92,99,1
50553,6.54,27.5,11,92,99,1
50660,6.54,27.5,11,92,99,1
50761,6.54,27.5,11,92,99,1
50862,6.54,27.5,11,92,99,1
50963,6.54,27.5,11,92,99,1
51064,6.54,27.5,11,92,99,1
51165,6.54,27.5,11,92,99,1
51266,6.54,27.5,11,92,99,1
51367,6.54,27.5,11,92,99,1
51468,6.54,27.5,11,92,99,1
51569,6.54,27.5,11,92,99,1
51670,6.54,27.5,11,92,99,1
51771,6.54,27.5,11,92,99,1
51872,6.54,27.5,11,92,99,1
51973,6.54,27.5,11,92,99,1
52074,6.54,27.5,11,92,99,1
52175,6.54,27.5,11,92,99,1
52276,6.54,27.5,11,92,99,1
52377,6.54,27.5,11,92,99,1
52478,6.54,27.5,11,92,99,1
52579,6.54,27.5,11,92,99,1
52686,6.54,27.5,11,92,99,1
52787,6.54,27.5,11,92,99,1
52888,6.54,27.5,11,92,99,1
52989,6.54,27.5,11,92,99,1
53090,6.54,27.5,11,92,99,1
53191,6.54,27.5,11,92,99,1
53292,6.54,27.5,11,92,99,1
53393,6.54,27.5,11,92,99,1
53494,6.54,27.5,11,92,99,1
53595,6.54,27.5,11,92,99,1
53695,6.54,27.5,11,92,99,1
53796,6.54,27.5,11,92,99,1
53897,6.54,27.5,11,92,99,1
53998,6.54,27.5,11,92,99,1
54099,6.54,27.5,11,92,99,1
54200,6.54,27.5,11,92,99,1
54300,6.54,27.5,11,92,99,1
54400,6.54,27.5,11,92,99,1
54500,6.54,27.5,11,92,99,1
54600,6.54,27.5,11,92,99,1
54889,6.54,16.5,11,92,99,1
54990,6.54,16.5,11,92,99,1
55091,6.54,16.5,11,92,99,1
55192,6.54,16.5,11,92,99,1
55293,6.54,16.5,11,92,99,1
55394,6.54,16.5,11,92,99,1
55495,6.54,16.5,11,92,99,1
55596,6.54,16.5,11,92,99,1
55697,6.54,16.5,11,92,99,1
55798,6.54,16.5,11,92,99,1
55899,6.54,16.5,11,92,99,1
56000,6.54,16.5,11,92,99,1
56100,6.54,16.5,11,92,99,1
56200,6.54,16.5,11,92,99,1
56300,6.54,16.5,11,92,99,1
56400,6.54,16.5,11,92,99,1
56500,6.54,16.5,11,92,99,1
56600,6.54,16.5,11,92,99,1
56706,6.54,16.5,11,92,99,1
56807,6.54,16.5,11,92,99,1
56908,6.54,16.5,11,92,99,1
57009,6.54,16.5,11,92,99,1
57110,6.54,16.5,11,92,99,1
57211,6.54,16.5,11,92,99,1
57312,6.54,16.5,11,92,99,1
57413,6.54,16.5,11,92,99,1
57514,6.54,16.5,11,92,99,1
57615,6.54,16.5,11,92,99,1
57716,6.54,16.5,11,92,99,1
57817,6.54,16.5,11,92,99,1
57918,6.54,16.5,11,92,99,1
58019,6.54,16.5,11,92,99,1
58120,6.54,16.5,11,92,99,1
58221,6.54,16.5,11,92,99,1
58322,6.54,16.5,11,92,99,1
58423,6.54,16.5,11,92,99,1
58524,6.54,16.5,11,92,99,1
58625,6.54,16.5,11,92,99,1
58914,6.54,0.0,11,92,99,1
59015,6.54,0.0,11,92,99,1
59116,6.54,0.0,11,92,99,1
59217,6.54,0.0,11,92,99,1
59318,6.54,0.0,11,92,99,1
59419,6.54,0.0,11,92,99,1
59520,6.54,0.0,11,92,99,1
59621,6.54,0.0,11,92,99,1
59722,6.54,0.0,11,92,99,1
59823,6.54,0.0,11,92,99,1
59924,6.54,0.0,11,92,99,1
60025,6.54,0.0,11,92,99,1
60126,6.54,0.0,11,92,99,1
60227,6.54,0.0,11,92,99,1
60328,6.54,0.0,11,92,99,1
60429,6.54,0.0,11,92,99,1
60530,6.54,0.0,11,92,99,1
60631,6.54,0.0,11,92,99,1
60738,6.54,0.0,11,92,99,1
60839,6.54,0.0,11,92,99,1
60940,6.54,0.0,11,92,99,1
61041,6.54,0.0,11,92,99,1
61142,6.54,0.0,11,92,99,1
61243,6.54,0.0,11,92,99,1
61344,6.54,0.0,11,92,99,1
61445,6.54,0.0,11,92,99,1
61546,6.54,0.0,11,92,99,1
61647,6.54,0.0,11,92,99,1
61748,6.54,0.0,11,92,99,1
61849,6.54,0.0,11,92,99,1
61950,6.54,0.0,11,92,99,1
62051,6.54,0.0,11,92,99,1
62152,6.54,0.0,11,92,99,1
62253,6.54,0.0,11,92,99,1
62354,6.54,0.0,11,92,99,1
62455,6.54,0.0,11,92,99,1
62556,6.54,0.0,11,92,99,1
62657,6.54,0.0,11,92,99,1
62946,6.54,43.0,11,92,99,1
63048,6.54,43.0,11,92,99,1
63149,6.54,43.0,11,92,99,1
63250,6.54,43.0,11,92,99,1
63351,6.54,43.0,11,92,99,1
63452,6.54,43.0,11,92,99,1
63553,6.54,43.0,11,92,99,1
63654,6.54,43.0,11,92,99,1
63755,6.54,43.0,11,92,99,1
63856,6.54,43.0,11,92,99,1
63957,6.54,43.0,11,92,99,1
64058,6.54,43.0,11,92,99,1
64159,6.54,43.0,11,92,99,1
64260,6.54,43.0,11,92,99,1
64361,6.54,43.0,11,92,99,1
64462,6.54,43.0,11,92,99,1
64563,6.54,43.0,11,92,99,1
64664,6.54,43.0,11,92,99,1
64953,6.54,46.0,11,92,99,1
65054,6.54,46.0,11,92,99,1
65155,6.54,46.0,11,92,99,1
65256,6.54,46.0,11,92,99,1
65357,6.54,46.0,11,92,99,1
65458,6.54,46.0,11,92,99,1
65559,6.54,46.0,11,92,99,1
65660,6.54,46.0,11,92,99,1
65761,6.54,46.0,11,92,99,1
65862,6.54,46.0,11,92,99,1
65963,6.54,46.0,11,92,99,1
66064,6.54,46.0,11,92,99,1
66165,6.54,46.0,11,92,99,1
66266,6.54,46.0,11,92,99,1
66367,6.54,46.0,11,92,99,1
66700,6.54,46.0,11,93,99,1
66807,6.54,46.0,11,93,99,1
66908,6.54,46.0,11,93,99,1
67241,6.54,46.0,11,81,99,1
67342,6.54,46.0,11,81,99,1
67443,6.54,46.0,11,81,99,1
67544,6.54,46.0,11,81,99,1
67645,6.54,46.0,11,81,99,1
67746,6.54,46.0,11,81,99,1
67847,6.54,46.0,11,81,99,1
67948,6.54,46.0,11,81,99,1
68049,6.54,46.0,11,81,99,1
68150,6.54,46.0,11,81,99,1
68251,6.54,46.0,11,81,99,1
68352,6.54,46.0,11,81,99,1
68453,6.54,46.0,11,81,99,1
68554,6.54,46.0,11,81,99,1
68655,6.54,46.0,11,81,99,1
68756,6.54,46.0,11,81,99,1
68863,6.54,46.0,11,81,99,1
68964,6.54,46.0,11,81,99,1
69065,6.54,46.0,11,81,99,1
69166,6.54,46.0,11,81,99,1
69267,6.54,46.0,11,81,99,1
69368,6.54,46.0,11,81,99,1
69469,6.54,46.0,11,81,99,1
69570,6.54,46.0,11,81,99,1
69671,6.54,46.0,11,81,99,1
70004,6.54,46.0,11,92,99,1
70105,6.54,46.0,11,92,99,1
70206,6.54,46.0,11,92,99,1
70307,6.54,46.0,11,92,99,1
70408,6.54,46.0,11,92,99,1
70509,6.54,46.0,11,92,99,1
70610,6.54,46.0,11,92,99,1
70711,6.54,46.0,11,92,99,1
70812,6.54,46.0,11,92,99,1
70919,6.54,46.0,11,92,99,1
71252,6.54,46.0,11,92,93,1
71353,6.54,46.0,11,92,93,1
71454,6.54,46.0,11,92,93,1
71555,6.54,46.0,11,92,93,1
71656,6.54,46.0,11,92,93,1
71757,6.54,46.0,11,92,93,1
71858,6.54,46.0,11,92,93,1
71959,6.54,46.0,11,92,93,1
72292,6.54,46.0,11,92,99,1
72393,6.54,46.0,11,92,99,1
72494,6.54,46.0,11,92,99,1
72827,6.54,46.0,11,92,97,1
72934,6.54,46.0,11,92,97,1
73035,6.54,46.0,11,92,97,1
73136,6.54,46.0,11,92,97,1
73237,6.54,46.0,11,92,97,1
73338,6.54,46.0,11,92,97,1
73439,6.54,46.0,11,92,97,1
73540,6.54,46.0,11,92,97,1
73873,6.54,46.0,11,92,94,1
73974,6.54,46.0,11,92,94,1
74075,6.54,46.0,11,92,94,1
74176,6.54,46.0,11,92,94,1
74277,6.54,46.0,11,92,94,1
74378,6.54,46.0,11,92,94,1
74479,6.54,46.0,11,92,94,1
74580,6.54,46.0,11,92,94,1
74913,6.54,46.0,14,92,94,1
75020,6.54,46.0,14,92,94,1
75121,6.54,46.0,14,92,94,1
75222,6.54,46.0,14,92,94,1
75323,6.54,46.0,14,92,94,1
75424,6.54,46.0,14,92,94,1
75525,6.54,46.0,14,92,94,1
75626,6.54,46.0,14,92,94,1
75727,6.54,46.0,14,92,94,1
75828,6.54,46.0,14,92,94,1
75929,6.54,46.0,14,92,94,1
76030,6.54,46.0,14,92,94,1
76131,6.54,46.0,14,92,94,1
76464,6.54,46.0,12,92,94,1
76565,6.54,46.0,12,92,94,1
76666,6.54,46.0,12,92,94,1
76767,6.54,46.0,12,92,94,1
76868,6.54,46.0,12,92,94,1
76969,6.54,46.0,12,92,94,1
77076,6.54,46.0,12,92,94,1
77409,6.54,46.0,10,92,94,1
77510,6.54,46.0,10,92,94,1
77611,6.54,46.0,10,92,94,1
77712,6.54,46.0,10,92,94,1
77813,6.54,46.0,10,92,94,1
77914,6.54,46.0,10,92,94,1
78015,6.54,46.0,10,92,94,1
78348,6.54,46.0,10,92,94,1
78449,6.54,46.0,10,92,94,1
78550,6.54,46.0,10,92,94,1
78651,6.54,46.0,10,92,94,1
78752,6.54,46.0,10,92,94,1
78853,6.54,46.0,10,92,94,1
78954,6.54,46.0,10,92,94,1
79287,6.54,46.0,10,92,99,1
79394,6.54,46.0,10,92,99,1
79495,6.54,46.0,10,92,99,1
79596,6.54,46.0,10,92,99,1
79697,6.54,46.0,10,92,99,1
79798,6.54,46.0,10,92,99,1
79899,6.54,46.0,10,92,99,1
80000,6.54,46.0,10,92,99,1
80100,6.54,46.0,10,92,99,1
80200,6.54,46.0,10,92,99,1
80300,6.54,46.0,10,92,99,1
80400,6.54,46.0,10,92,99,1
80500,6.54,46.0,10,92,99,1
80600,6.54,46.0,10,92,99,1
80700,6.54,46.0,10,92,99,1
80800,6.54,46.0,10,92,99,1
80900,6.54,46.0,10,92,99,1
81000,6.54,46.0,10,92,99,1
81100,6.54,46.0,10,92,99,1
81200,6.54,46.0,10,92,99,1
81300,6.54,46.0,10,92,99,1
81406,6.54,46.0,10,92,99,1
81507,6.54,46.0,10,92,99,1
81608,6.54,46.0,10,92,99,1
81709,6.54,46.0,10,92,99,1
81810,6.54,46.0,10,92,99,1
81911,6.54,46.0,10,92,99,1
82012,6.54,46.0,10,92,99,1
82113,6.54,46.0,10,92,99,1
82214,6.54,46.0,10,92,99,1
82315,6.54,46.0,10,92,99,1
82416,6.54,46.0,10,92,99,1
82517,6.54,46.0,10,92,99,1
82618,6.54,46.0,10,92,99,1
82719,6.54,46.0,10,92,99,1
82820,6.54,46.0,10,92,99,1
82921,6.54,46.0,10,92,99,1
83022,6.54,46.0,10,92,99,1
83123,6.54,46.0,10,92,99,1
83224,6.54,46.0,10,92,99,1
83325,6.54,46.0,10,92,99,1
83622,6.54,65.0,10,92,99,0
83723,6.54,65.0,10,92,99,0
83824,6.54,65.0,10,92,99,0
83925,6.54,65.0,10,92,99,0
84026,6.54,65.0,10,92,99,0
84127,6.54,65.0,10,92,99,0
84228,6.54,65.0,10,92,99,0
84329,6.54,65.0,10,92,99,0
84430,6.54,65.0,10,92,99,0
84531,6.54,65.0,10,92,99,0
84632,6.54,65.0,10,92,99,0
84733,6.54,65.0,10,92,99,0
84834,6.54,65.0,10,92,99,0
84935,6.54,65.0,10,92,99,0
85036,6.54,65.0,10,92,99,0
85137,6.54,65.0,10,92,99,0
85238,6.54,65.0,10,92,99,0
85339,6.54,65.0,10,92,99,0
85636,6.54,96.5,10,92,99,0
85737,6.54,96.5,10,92,99,0
85838,6.54,96.5,10,92,99,0
85939,6.54,96.5,10,92,99,0
86040,6.54,96.5,10,92,99,0
86141,6.54,96.5,10,92,99,0
86242,6.54,96.5,10,92,99,0
86343,6.54,96.5,10,92,99,0
86444,6.54,96.5,10,92,99,0
86545,6.54,96.5,10,92,99,0
86646,6.54,96.5,10,92,99,0
86747,6.54,96.5,10,92,99,0
86848,6.54,96.5,10,92,99,0
86949,6.54,96.5,10,92,99,0
87050,6.54,96.5,10,92,99,0
87151,6.54,96.5,10,92,99,0
87252,6.54,96.5,10,92,99,0
87353,6.54,96.5,10,92,99,0
87650,6.54,95.0,10,92,99,0
87751,6.54,95.0,10,92,99,0
87852,6.54,95.0,10,92,99,0
87953,6.54,95.0,10,92,99,0
88054,6.54,95.0,10,92,99,0
88155,6.54,95.0,10,92,99,0
88256,6.54,95.0,10,92,99,0
88357,6.54,95.0,10,92,99,0
88458,6.54,95.0,10,92,99,0
88559,6.54,95.0,10,92,99,0
88660,6.54,95.0,10,92,99,0
88761,6.54,95.0,10,92,99,0
88862,6.54,95.0,10,92,99,0
88963,6.54,95.0,10,92,99,0
89064,6.54,95.0,10,92,99,0
89165,6.54,95.0,10,92,99,0
89266,6.54,95.0,10,92,99,0
89367,6.54,95.0,10,92,99,0
89664,6.54,59.5,10,92,99,0
89765,6.54,59.5,10,92,99,0
89866,6.54,59.5,10,92,99,0
89967,6.54,59.5,10,92,99,0
90068,6.54,59.5,10,92,99,0
90169,6.54,59.5,10,92,99,0
90270,6.54,59.5,10,92,99,0
90371,6.54,59.5,10,92,99,0
90472,6.54,59.5,10,92,99,0
90573,6.54,59.5,10,92,99,0
90674,6.54,59.5,10,92,99,0
90775,6.54,59.5,10,92,99,0
90876,6.54,59.5,10,92,99,0
90977,6.54,59.5,10,92,99,0
91078,6.54,59.5,10,92,99,0
91179,6.54,59.5,10,92,99,0
91280,6.54,59.5,10,92,99,0
91381,6.54,59.5,10,92,99,0
91488,6.54,59.5,10,92,99,0
91589,6.54,59.5,10,92,99,0
91690,6.54,59.5,10,92,99,0
91791,6.54,59.5,10,92,99,0
91892,6.54,59.5,10,92,99,0
91993,6.54,59.5,10,92,99,0
92094,6.54,59.5,10,92,99,0
92195,6.54,59.5,10,92,99,0
92296,6.54,59.5,10,92,99,0
92397,6.54,59.5,10,92,99,0
92498,6.54,59.5,10,92,99,0
