senioridade,idade,horas_trabalho,pct_reunioes,interacoes_noturnas,periodo_sem_ferias,score_satisfacao,burnout_label
Pleno,20,37,0.59,7,28,5,0
Pleno,27,40,0.38,4,1,2,0
Pleno,25,43,0.38,1,3,2,0
Pleno,33,59,0.51,11,14,3,1
Junior,36,38,0.17,8,4,5,0
Junior,29,45,0.32,7,24,1,1
Junior,26,37,0.27,4,7,3,0
Junior,34,43,0.34,5,4,3,0
Pleno,33,57,0.41,6,11,4,1
Pleno,34,44,0.32,3,9,3,0
Pleno,28,39,0.32,0,1,3,0
Junior,31,44,0.13,9,3,5,0
Junior,34,47,0.29,5,2,4,0
Senior,24,46,0.26,4,1,3,0
Pleno,24,49,0.52,7,18,1,1
Senior,23,46,0.22,6,3,2,0
Junior,28,47,0.34,3,11,3,0
Junior,25,46,0.27,7,11,1,1
Junior,30,40,0.11,3,1,1,0
Senior,33,47,0.24,4,3,5,0
Pleno,29,53,0.16,5,29,2,1
Junior,22,51,0.55,1,36,3,0
Senior,41,43,0.58,8,11,3,1
Pleno,20,42,0.58,7,16,4,0
Pleno,24,41,0.17,8,0,5,0
Senior,46,40,0.44,8,8,3,1
Pleno,29,44,0.12,4,0,4,0
Pleno,38,49,0.19,5,24,4,0
Senior,20,39,0.36,3,8,4,0
Junior,27,45,0.39,4,1,4,0
Junior,23,47,0.31,6,34,1,1
Junior,32,53,0.41,6,8,2,1
Pleno,31,43,0.55,8,7,3,1
Junior,32,40,0.31,4,18,5,0
Pleno,27,41,0.49,10,17,2,1
Pleno,37,44,0.52,10,22,5,1
Pleno,24,39,0.5,5,8,5,0
Junior,29,43,0.21,10,3,5,0
Pleno,35,43,0.17,8,1,3,0
Senior,21,41,0.23,5,10,5,0
Junior,20,39,0.43,7,8,4,0
Junior,25,45,0.54,4,1,5,0
Pleno,37,47,0.34,4,2,5,0
Pleno,20,41,0.49,4,2,5,0
Pleno,40,50,0.14,3,0,4,0
Pleno,30,51,0.49,7,31,5,1
Junior,26,45,0.27,7,24,5,0
Junior,20,48,0.14,7,3,4,0
Senior,32,47,0.17,1,3,5,0
Senior,33,54,0.36,4,12,1,1
Senior,23,48,0.33,4,1,4,0
Pleno,23,41,0.47,3,36,3,0
Pleno,31,42,0.24,9,14,5,0
Junior,41,44,0.18,5,4,5,0
Junior,36,42,0.39,2,6,3,0
Junior,29,42,0.49,4,4,4,0
Junior,29,41,0.27,7,15,1,1
Senior,35,46,0.14,4,3,4,0
Junior,29,42,0.42,4,20,4,0
Senior,34,41,0.18,1,10,1,0
Pleno,31,43,0.19,3,5,3,0
Senior,21,57,0.48,4,11,5,0
Senior,44,44,0.13,5,11,2,0
Junior,34,47,0.18,2,29,4,0
Pleno,30,39,0.44,4,0,5,0
Senior,27,47,0.14,4,24,3,0
Junior,27,41,0.58,9,14,1,1
Pleno,32,52,0.39,6,21,1,1
Junior,39,44,0.42,6,3,3,0
Junior,29,43,0.13,7,4,3,0
Pleno,20,47,0.39,3,9,4,0
Junior,34,40,0.22,5,4,5,0
Pleno,35,46,0.25,5,10,4,0
Pleno,35,41,0.52,2,0,2,0
Pleno,25,40,0.24,4,14,3,0
Pleno,32,42,0.16,6,3,1,0
Pleno,21,55,0.33,9,9,1,1
Senior,31,54,0.52,2,4,3,0
Pleno,28,46,0.26,9,2,5,0
Senior,34,39,0.26,8,20,3,0
Junior,29,41,0.15,4,1,5,0
Senior,20,40,0.12,5,26,4,0
Pleno,28,51,0.6,10,9,1,1
Senior,29,45,0.1,8,15,4,0
Senior,26,55,0.48,5,7,2,1
Pleno,21,40,0.44,1,7,3,0
Senior,28,50,0.48,8,26,3,1
Pleno,28,47,0.51,5,14,1,1
Senior,33,50,0.26,12,12,3,1
Pleno,38,48,0.11,6,12,1,1
Junior,30,42,0.17,4,1,2,0
Junior,25,42,0.32,3,7,4,0
Pleno,41,52,0.19,9,25,1,1
Senior,27,52,0.26,6,11,2,1
Junior,20,47,0.4,4,23,1,1
Junior,26,50,0.42,4,13,3,0
Senior,21,50,0.23,7,21,2,1
Junior,30,39,0.4,6,26,5,0
Pleno,38,44,0.55,6,5,5,0
Pleno,33,42,0.39,9,8,5,0
Junior,24,50,0.26,6,5,1,1
Pleno,30,47,0.33,9,8,3,1
Junior,30,42,0.6,5,6,5,0
Junior,26,42,0.57,8,36,1,1
Senior,33,57,0.35,3,8,1,1
Pleno,31,39,0.51,2,28,3,0
Pleno,35,41,0.26,5,8,3,0
Senior,37,46,0.47,3,10,2,0
Junior,37,40,0.18,3,0,2,0
Pleno,24,45,0.44,6,6,1,1
Junior,25,56,0.33,6,8,3,1
Pleno,24,43,0.58,2,13,4,0
Pleno,34,48,0.48,9,11,2,1
Junior,36,45,0.52,8,7,4,1
Pleno,28,41,0.13,8,6,5,0
Senior,31,45,0.46,9,8,4,1
Pleno,34,45,0.29,2,29,4,0
Junior,33,48,0.33,5,12,3,0
Pleno,30,47,0.34,3,0,4,0
Senior,25,47,0.38,5,7,1,1
Junior,32,38,0.22,6,5,3,0
Pleno,29,39,0.46,8,0,4,0
Pleno,27,52,0.28,8,4,2,1
Senior,34,42,0.56,7,18,1,1
Junior,24,50,0.45,6,28,2,1
Pleno,20,43,0.55,6,2,4,0
Pleno,27,49,0.22,1,9,5,0
Junior,29,42,0.43,6,32,5,0
Junior,33,38,0.19,4,4,2,0
Senior,26,51,0.36,7,10,2,1
Junior,36,46,0.36,5,7,5,0
Junior,30,46,0.23,2,11,4,0
Junior,23,43,0.13,8,8,4,0
Pleno,34,55,0.46,7,14,3,1
Senior,20,48,0.22,6,10,1,1
Pleno,37,47,0.59,9,17,2,1
Pleno,35,40,0.38,3,8,5,0
Junior,23,45,0.14,0,11,2,0
Junior,44,44,0.11,5,12,4,0
Pleno,28,48,0.33,5,23,2,1
Senior,27,50,0.24,6,4,5,0
Senior,20,56,0.38,8,10,2,1
Senior,24,57,0.18,6,11,2,1
Junior,38,40,0.33,5,3,5,0
Senior,37,51,0.39,6,13,1,1
Pleno,27,38,0.51,3,2,4,0
Junior,22,42,0.4,7,5,5,0
Junior,43,42,0.49,6,6,1,1
Junior,33,47,0.3,6,12,3,0
Pleno,31,53,0.49,4,24,1,1
Junior,25,43,0.24,10,10,3,1
Senior,34,45,0.37,5,7,1,1
Junior,21,41,0.17,4,31,5,0
Senior,34,51,0.15,2,6,5,0
Junior,31,47,0.48,6,27,2,1
Junior,29,41,0.18,3,2,1,0
Senior,20,50,0.31,5,0,4,0
Pleno,20,40,0.51,11,7,5,1
Senior,33,54,0.48,3,12,1,1
Junior,28,38,0.29,5,10,4,0
Pleno,20,49,0.6,2,3,4,0
Junior,33,40,0.32,7,21,5,0
Junior,38,46,0.46,5,28,2,1
Senior,33,52,0.21,9,11,3,1
Senior,30,43,0.25,2,31,3,0
Junior,32,44,0.19,8,2,3,0
Senior,32,40,0.15,5,3,4,0
Senior,22,41,0.52,7,7,5,0
Junior,31,39,0.43,5,2,2,0
Pleno,35,44,0.56,1,21,5,0
Pleno,27,43,0.1,6,0,4,0
Junior,37,47,0.43,5,2,5,0
Junior,25,41,0.19,4,9,4,0
Junior,26,48,0.38,6,6,4,0
Pleno,33,40,0.21,5,13,4,0
Pleno,29,46,0.22,6,16,4,0
Senior,21,44,0.13,5,6,2,0
Pleno,28,47,0.38,4,9,1,1
Junior,29,47,0.59,4,9,1,1
Junior,21,37,0.31,2,0,3,0
Pleno,29,49,0.28,2,7,5,0
Pleno,36,48,0.26,7,14,5,0
Pleno,40,49,0.29,3,8,3,0
Senior,26,52,0.51,7,28,2,1
Pleno,30,43,0.11,2,11,5,0
Junior,37,45,0.44,1,3,4,0
Senior,31,48,0.57,5,4,1,1
Senior,30,54,0.6,5,26,1,1
Pleno,23,45,0.6,6,8,2,1
Pleno,36,48,0.13,7,24,5,0
Junior,36,45,0.37,5,7,1,1
Pleno,36,43,0.36,3,0,2,0
Pleno,27,46,0.28,7,1,4,0
Junior,33,39,0.33,6,7,2,0
Junior,20,44,0.4,4,6,2,0
Junior,36,43,0.35,2,3,5,0
Senior,42,55,0.5,6,15,1,1
Junior,28,44,0.26,5,14,3,0
Junior,23,39,0.29,4,2,4,0
Junior,32,40,0.48,3,1,5,0
Pleno,32,49,0.54,4,23,5,0
Junior,29,45,0.5,4,16,2,0
Pleno,37,50,0.51,5,1,5,0
Junior,37,40,0.6,2,20,1,0
Pleno,34,51,0.26,8,36,1,1
Pleno,30,41,0.1,3,7,5,0
Pleno,30,48,0.34,3,29,4,0
Junior,34,42,0.5,3,2,1,0
Junior,38,40,0.3,7,34,1,1
Pleno,41,44,0.13,7,0,2,0
Junior,30,37,0.46,7,2,5,0
Pleno,25,51,0.58,5,15,3,1
Pleno,34,39,0.3,5,5,1,0
Senior,34,56,0.51,4,6,1,1
Junior,26,38,0.44,3,0,2,0
Junior,22,41,0.42,3,15,3,0
Junior,28,43,0.57,7,19,2,1
Senior,20,52,0.24,3,0,5,0
Pleno,20,44,0.53,6,1,5,0
Pleno,31,49,0.51,8,6,3,1
Pleno,29,45,0.18,3,8,4,0
Junior,47,41,0.15,8,4,4,0
Junior,29,41,0.26,5,1,2,0
Pleno,35,42,0.25,4,9,4,0
Junior,31,36,0.21,3,4,2,0
Pleno,39,44,0.44,5,0,2,0
Pleno,32,48,0.55,9,8,5,1
Pleno,38,45,0.24,9,27,5,0
Junior,38,41,0.46,6,5,3,0
Pleno,32,39,0.52,3,29,4,0
Pleno,28,52,0.4,5,11,1,1
Senior,37,43,0.56,5,16,1,1
Pleno,21,44,0.26,3,8,5,0
Pleno,23,43,0.23,5,9,1,0
Pleno,34,43,0.15,5,19,4,0
Pleno,32,42,0.19,6,3,3,0
Junior,33,47,0.27,2,3,3,0
Senior,27,47,0.23,3,0,5,0
Junior,29,41,0.34,1,3,2,0
Junior,42,43,0.4,5,6,5,0
Pleno,20,48,0.56,7,12,3,1
Junior,38,43,0.16,3,10,5,0
Pleno,32,46,0.16,4,2,3,0
Pleno,24,49,0.25,4,5,4,0
Pleno,42,50,0.11,10,14,4,1
Pleno,39,48,0.46,6,33,5,0
Senior,32,48,0.33,8,36,1,1
Senior,24,45,0.16,4,3,1,0
Pleno,26,55,0.44,3,8,1,1
Pleno,32,41,0.27,4,8,3,0
Junior,33,40,0.32,4,1,3,0
Junior,35,46,0.49,6,15,1,1
Junior,24,41,0.33,3,3,3,0
Junior,20,40,0.4,5,36,2,0
Junior,35,39,0.36,4,0,5,0
Pleno,36,45,0.17,5,6,2,0
Junior,30,39,0.2,5,3,2,0
Senior,32,48,0.49,8,7,2,1
Junior,26,42,0.2,4,20,3,0
Junior,26,45,0.31,6,17,5,0
Junior,36,44,0.3,4,36,3,0
Pleno,31,45,0.26,3,6,4,0
Senior,31,47,0.56,3,11,5,0
Senior,28,50,0.34,5,11,2,1
Junior,32,47,0.2,4,29,1,0
Junior,31,48,0.52,5,15,5,0
Junior,22,45,0.51,7,20,2,1
Pleno,21,38,0.13,4,2,2,0
Junior,30,38,0.32,4,10,3,0
Pleno,30,57,0.26,5,36,3,1
Pleno,33,39,0.48,5,19,4,0
Junior,39,42,0.38,5,17,5,0
Pleno,46,42,0.17,8,29,5,0
Junior,24,44,0.18,5,3,3,0
Senior,31,46,0.58,5,6,4,0
Pleno,35,42,0.27,3,21,5,0
Pleno,20,47,0.32,5,0,2,0
Pleno,20,44,0.12,5,7,1,0
Pleno,25,53,0.22,4,19,3,0
Pleno,20,47,0.14,6,7,5,0
Senior,26,46,0.27,5,18,4,0
Pleno,30,41,0.38,7,36,3,1
Senior,25,50,0.3,4,14,1,1
Senior,30,51,0.52,6,5,3,1
Senior,33,41,0.37,6,5,3,0
Junior,31,42,0.25,4,4,4,0
Junior,31,47,0.5,3,12,5,0
Senior,25,53,0.27,3,30,4,0
Junior,34,36,0.15,8,0,4,0
Junior,20,43,0.44,6,2,5,0
Pleno,32,53,0.38,5,36,2,1
Pleno,30,50,0.29,7,14,2,1
Junior,28,52,0.42,4,29,1,1
Pleno,26,40,0.31,4,9,4,0
Pleno,29,40,0.18,5,8,5,0
Junior,23,39,0.59,4,13,1,1
Junior,24,42,0.46,6,12,2,1
Pleno,27,44,0.53,4,12,1,1
Senior,20,50,0.13,7,5,1,1
Junior,22,40,0.3,7,14,5,0
Senior,32,41,0.44,8,1,4,0
Junior,32,45,0.54,4,11,3,0
Junior,26,45,0.51,6,4,1,1
Senior,26,60,0.25,7,16,3,1
Junior,20,42,0.49,3,9,3,0
Pleno,30,48,0.28,5,21,3,0
Senior,30,56,0.17,8,15,3,1
Junior,25,44,0.4,4,21,2,0
Junior,31,45,0.35,3,2,1,0
Junior,29,39,0.39,7,12,4,0
Junior,33,41,0.38,4,0,5,0
Pleno,32,53,0.18,6,6,5,0
Pleno,32,42,0.57,6,19,5,0
Pleno,34,38,0.23,5,4,1,0
Senior,34,48,0.12,4,3,4,0
Junior,36,45,0.28,6,8,3,0
Senior,25,46,0.44,5,6,5,0
Junior,33,38,0.37,5,4,5,0
Pleno,36,48,0.55,5,1,5,0
Senior,28,44,0.25,6,4,2,0
Pleno,29,41,0.21,6,10,4,0
Pleno,28,37,0.21,7,15,2,0
Junior,32,42,0.25,4,0,5,0
Pleno,32,43,0.12,2,2,3,0
Junior,25,41,0.15,1,1,1,0
Junior,29,45,0.12,2,1,3,0
Junior,20,54,0.51,8,14,3,1
Pleno,23,52,0.17,2,8,3,0
Pleno,29,46,0.56,6,29,1,1
Senior,31,44,0.58,3,1,3,0
Junior,27,44,0.39,6,28,3,0
Pleno,32,51,0.54,4,12,1,1
Pleno,26,43,0.58,5,3,4,0
Senior,24,50,0.28,2,29,4,0
Pleno,31,43,0.1,2,36,1,0
Senior,20,58,0.44,8,6,4,1
Junior,33,45,0.47,9,20,1,1
Pleno,30,46,0.42,2,10,5,0
Junior,20,43,0.39,6,36,5,0
Junior,20,56,0.48,8,19,3,1
Junior,24,43,0.52,4,1,5,0
Junior,28,53,0.53,5,4,5,0
Junior,22,46,0.42,3,6,1,0
Pleno,37,44,0.39,2,6,4,0
Junior,29,41,0.34,6,21,1,1
Junior,42,43,0.21,8,3,3,0
Junior,28,41,0.15,3,2,3,0
Pleno,28,44,0.26,4,3,1,0
Senior,28,42,0.16,2,5,3,0
Junior,26,55,0.32,7,13,3,1
Pleno,36,39,0.18,3,7,3,0
Junior,20,41,0.15,4,23,4,0
Pleno,30,42,0.38,3,3,4,0
Pleno,30,41,0.46,2,7,3,0
Pleno,32,44,0.44,7,13,1,1
Pleno,30,46,0.43,4,3,3,0
Pleno,40,47,0.19,7,6,4,0
Junior,26,42,0.15,9,15,1,1
Pleno,31,50,0.25,1,13,4,0
Pleno,34,42,0.34,4,1,2,0
Pleno,31,41,0.38,4,13,1,0
Senior,27,38,0.11,7,16,4,0
Pleno,38,44,0.15,4,18,5,0
Senior,29,51,0.57,8,16,2,1
Pleno,33,45,0.4,1,0,4,0
Pleno,20,39,0.27,7,23,2,1
Junior,38,42,0.46,2,8,2,0
Pleno,20,46,0.4,1,3,2,0
Pleno,28,35,0.3,5,9,4,0
Junior,28,38,0.11,6,6,5,0
Senior,27,54,0.36,4,9,1,1
Junior,24,44,0.2,3,3,2,0
Pleno,22,39,0.46,5,9,5,0
Senior,25,46,0.45,6,9,2,1
Junior,29,46,0.32,6,1,5,0
Senior,20,49,0.3,5,4,1,1
Pleno,24,52,0.39,6,11,1,1
Junior,33,41,0.53,6,5,3,0
Junior,23,44,0.24,0,11,2,0
Pleno,34,44,0.31,7,5,1,1
Pleno,25,56,0.22,11,20,1,1
Pleno,35,49,0.56,1,10,3,0
Pleno,24,51,0.31,6,8,2,1
Junior,28,39,0.19,2,6,2,0
Pleno,27,47,0.14,4,3,3,0
Junior,29,42,0.59,11,8,3,1
Pleno,20,46,0.59,4,12,1,1
Pleno,30,53,0.55,8,15,5,1
Pleno,34,50,0.38,3,4,2,0
Junior,25,55,0.58,3,5,1,1
Senior,30,46,0.52,5,21,1,1
Pleno,20,47,0.13,7,0,5,0
Pleno,36,47,0.13,1,13,2,0
Junior,28,50,0.31,6,11,2,1
Junior,23,39,0.58,6,15,4,0
Junior,33,46,0.44,7,36,3,1
Pleno,42,48,0.29,4,5,5,0
Junior,28,40,0.38,6,3,5,0
Pleno,34,49,0.47,5,32,3,1
Pleno,20,45,0.48,5,21,1,1
Pleno,24,49,0.48,5,35,2,1
Senior,23,46,0.57,3,15,1,1
Senior,44,52,0.51,6,3,5,0
Junior,26,39,0.38,6,14,3,0
Junior,22,49,0.29,5,0,2,0
Pleno,33,44,0.19,5,10,4,0
Junior,24,47,0.58,2,3,2,0
Junior,24,39,0.13,2,0,3,0
Pleno,31,42,0.2,4,2,1,0
Junior,31,47,0.27,2,36,1,0
Senior,21,51,0.1,7,21,5,0
Pleno,28,43,0.46,3,2,1,0
Junior,44,42,0.52,3,16,4,0
Pleno,40,41,0.34,3,1,1,0
Pleno,34,50,0.16,7,7,1,1
Senior,30,49,0.45,2,3,1,0
Pleno,28,43,0.16,3,3,2,0
Pleno,24,49,0.17,6,11,3,0
Senior,30,47,0.34,6,15,3,0
Senior,25,55,0.15,6,14,1,1
Pleno,29,40,0.11,4,9,5,0
Pleno,33,44,0.45,4,12,4,0
Junior,26,39,0.22,3,18,2,0
Senior,31,46,0.35,2,8,4,0
Pleno,41,44,0.29,6,8,4,0
Junior,32,43,0.45,6,4,3,0
Pleno,36,48,0.51,6,7,1,1
Junior,38,42,0.15,3,19,3,0
Junior,31,41,0.47,10,3,5,0
Senior,27,45,0.27,4,3,5,0
Pleno,38,57,0.35,10,31,4,1
Junior,33,43,0.51,1,3,5,0
Senior,28,46,0.51,2,1,2,0
Junior,24,45,0.44,3,3,4,0
Junior,25,40,0.16,9,4,3,0
Junior,34,43,0.29,3,4,1,0
Pleno,32,41,0.21,4,8,3,0
Pleno,27,53,0.56,6,30,1,1
Junior,30,49,0.35,6,11,1,1
Junior,29,42,0.55,7,12,3,1
Junior,35,44,0.25,5,10,4,0
Pleno,29,42,0.2,0,0,3,0
Pleno,25,39,0.15,4,4,1,0
Junior,20,43,0.26,9,13,5,0
Junior,20,49,0.19,7,10,2,1
Pleno,31,49,0.13,3,0,4,0
Junior,22,36,0.43,3,12,4,0
Senior,28,49,0.31,8,7,1,1
Senior,27,53,0.33,6,13,3,1
Pleno,32,52,0.35,4,24,3,0
Pleno,37,46,0.11,6,2,2,0
Junior,24,39,0.58,6,4,3,0
Pleno,31,48,0.29,4,6,3,0
Pleno,32,41,0.11,4,28,1,0
Junior,38,44,0.59,11,17,5,1
Junior,26,39,0.35,3,7,5,0
Pleno,43,56,0.34,3,13,3,0
Senior,23,50,0.21,10,9,4,1
Junior,33,39,0.18,1,16,5,0
Pleno,32,49,0.56,5,4,3,1
Junior,47,40,0.51,4,13,5,0
Junior,29,52,0.44,4,18,1,1
Senior,32,48,0.14,7,4,5,0
Pleno,23,50,0.55,3,7,3,0
Pleno,22,46,0.53,7,12,1,1
Pleno,23,46,0.31,5,4,4,0
Pleno,29,50,0.21,11,7,2,1
Junior,25,48,0.16,4,16,4,0
Junior,28,46,0.37,1,2,2,0
Pleno,26,47,0.4,3,4,3,0
Pleno,24,49,0.22,6,6,4,0
Senior,32,42,0.23,3,14,1,0
Junior,25,51,0.31,9,6,3,1
Senior,29,44,0.13,4,6,5,0
Senior,28,50,0.18,0,0,1,0
Junior,26,41,0.38,4,6,4,0
Junior,35,42,0.53,2,10,1,0
Junior,26,47,0.48,6,36,3,1
Pleno,30,47,0.48,4,6,3,0
Pleno,20,49,0.1,5,36,2,0
Junior,31,39,0.28,5,5,5,0
Junior,31,40,0.3,6,7,5,0
Senior,34,49,0.57,7,6,4,1
Junior,24,37,0.35,6,5,2,0
Senior,20,38,0.18,6,5,4,0
Junior,24,40,0.57,3,0,3,0
Senior,31,50,0.2,9,6,4,1
Pleno,34,42,0.1,2,4,5,0
Pleno,31,43,0.48,5,1,2,0
Junior,23,40,0.59,2,19,4,0
Pleno,28,45,0.12,2,0,1,0
Junior,39,48,0.44,4,22,4,0
Pleno,34,52,0.47,4,17,3,0
Pleno,29,52,0.15,4,0,4,0
Pleno,31,39,0.22,5,19,2,0
Junior,35,44,0.55,9,4,2,1
Pleno,30,58,0.11,6,4,1,1
Senior,35,53,0.43,8,6,1,1
Junior,20,44,0.18,3,14,2,0
Senior,30,47,0.35,2,3,3,0
Senior,37,50,0.59,5,2,5,0
Junior,28,40,0.24,4,8,4,0
Junior,27,40,0.29,4,7,2,0
Senior,32,53,0.11,6,14,1,1
Pleno,26,46,0.35,5,12,4,0
Junior,30,47,0.48,4,17,1,1
